,Player,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,4s,6s,Dot%,Format,Country,Balls,Outs,HS,50,100,Dot %
12,Ravindra Jadeja,10.0,,236.0,,,47.2,136.4,,,21.0,6.0,,T20I,India,173.0,5.0,46.0,0.0,0.0,25.4
14,Shardul Thakur,3.0,,10.0,,,5.0,125.0,,,2.0,0.0,,T20I,India,8.0,2.0,10.0,0.0,0.0,50.0
16,Mohammed Siraj,1.0,,5.0,,,5.0,71.4,,,1.0,0.0,,T20I,India,7.0,1.0,5.0,0.0,0.0,71.4
18,Kuldeep Yadav,4.0,,26.0,,,8.7,66.7,,,0.0,0.0,,T20I,India,39.0,3.0,23.0,0.0,0.0,48.7
20,Mohammed Shami,1.0,,0.0,,,0.0,0.0,,,0.0,0.0,,T20I,India,2.0,1.0,0.0,0.0,0.0,100.0
22,Axar Patel,21.0,,264.0,,,22.0,156.2,,,23.0,12.0,,T20I,India,169.0,12.0,65.0,1.0,0.0,29.6
24,Ishan Kishan,29.0,,686.0,,,24.5,121.6,,,74.0,27.0,,T20I,India,564.0,28.0,89.0,4.0,0.0,47.2
26,Suryakumar Yadav,50.0,,1841.0,,,46.0,172.7,,,166.0,104.0,,T20I,India,1066.0,40.0,117.0,15.0,3.0,30.4
0,Pat Cummins,20.0,73.0,587.0,18.0,8.04,32.6,24.3,0.0,2/22,59.0,19.0,50.2,T20I,Australia,,,,,,
2,Sean Abbott,5.0,15.0,109.0,9.0,7.27,12.1,10.0,0.0,4/31,10.0,5.0,52.2,T20I,Australia,,,,,,
4,Ashton Agar,20.0,74.4,447.0,18.0,5.99,24.8,24.9,1.0,6/30,18.0,16.0,42.6,T20I,Australia,,,,,,
6,Cameron Green,7.0,20.0,178.0,5.0,8.9,35.6,24.0,0.0,2/16,17.0,9.0,46.7,T20I,Australia,,,,,,
8,Josh Hazlewood,32.0,117.4,850.0,49.0,7.22,17.3,14.4,0.0,4/12,81.0,33.0,51.4,T20I,Australia,,,,,,
10,Travis Head,1.0,2.0,17.0,0.0,8.5,-,-,0.0,0/17,1.0,1.0,25.0,T20I,Australia,,,,,,
12,Glenn Maxwell,22.0,41.1,303.0,10.0,7.36,30.3,24.7,0.0,2/14,18.0,10.0,32.4,T20I,Australia,,,,,,
14,Marcus Stoinis,16.0,40.0,352.0,14.0,8.8,25.1,17.1,0.0,3/18,23.0,15.0,33.8,T20I,Australia,,,,,,
16,Adam Zampa,37.0,135.3,995.0,43.0,7.34,23.1,18.9,1.0,5/19,54.0,48.0,37.4,T20I,Australia,,,,,,
